LSOA11CD,LSOAarea,SUM_service_area,LSOAname,population,per_capita_SA,per_square_meter_SA,location_quotient,Shape_Length,Shape_Area,pop_density
E01008987,161881.7813,169373.7201,Birmingham 064B,1693,100.043541,1.046280265,0.337251246,2232.326392,161881.7878,10458
E01008988,378648.9375,343478.1971,Birmingham 064C,2285,150.3186798,0.907115161,0.506730974,4250.87407,378648.9264,6035
E01008989,272914.6563,272914.6638,Birmingham 064D,1973,138.3247223,1,0.466298759,3712.532988,272914.6638,7229
E01008990,759697,1058537.484,Birmingham 064E,1357,780.0571289,1.393368006,2.629607201,6502.783164,759697.0282,1786
E01008991,687997.9375,723776.567,Birmingham 064F,1603,451.5137634,1.05200398,1.52207303,5566.217657,687997.9283,2330
E01008992,636834.25,1005661.384,Birmingham 079C,1804,557.4619751,1.579157233,1.879229069,6232.132417,636834.2195,2833
E01008994,503102.9688,37803.57804,Birmingham 074B,1775,21.29779053,0.075140834,0.071795799,5316.952247,503102.9698,3528
E01008995,238380.6719,184541.1994,Birmingham 134A,2261,81.61928558,0.774144948,0.275142223,3315.68327,238380.6644,9485
E01008996,246557.7188,418192.2214,Birmingham 074C,1652,253.1429901,1.696123004,0.853356302,2315.163743,246557.7176,6700
E01008997,579821.0625,431734.3918,Birmingham 074D,1544,279.6207275,0.744599342,0.9426139,4497.01992,579821.0657,2663
E01008998,249143.0156,407315.8909,Birmingham 031A,1850,220.1707458,1.634867787,0.742205381,3018.587873,249143.0162,7425
E01008999,301392.7188,685150.2022,Birmingham 031B,1636,418.7959595,2.273280621,1.411779881,4450.04417,301392.705,5428
E01009000,262871.7188,613021.8823,Birmingham 031C,1705,359.5436401,2.332019091,1.212037563,3614.643153,262871.7136,6486
E01009001,323623.7188,471971.7061,Birmingham 018A,1851,254.9820099,1.458396554,0.859555721,4470.508495,323623.7226,5720
E01009002,275399.8438,510687.3007,Birmingham 023A,1468,347.8796387,1.85434854,1.17271769,2997.785849,275399.8499,5330
E01009003,346502.9063,753243.396,Birmingham 018B,1713,439.7217712,2.173844337,1.48232162,4375.020463,346502.9034,4944
E01009005,260296.3281,521244.0862,Birmingham 025A,1659,314.1917419,2.00250268,1.059154272,2726.689551,260296.3236,6374
E01009006,194492.8281,253651.4782,Birmingham 023C,1567,161.8707581,1.30416882,0.545673549,3164.092525,194492.8235,8057
E01009007,409763.9375,607227.8706,Birmingham 023D,1664,364.9205933,1.481896758,1.230163574,4258.426584,409763.9519,4061
E01009008,406005.75,991312.6814,Birmingham 028A,1461,678.5165405,2.441622257,2.287309408,4139.028096,406005.7567,3598
E01009009,246698.9219,545913.4045,Birmingham 025B,1501,363.6997986,2.212872982,1.226048231,2572.912797,246698.9163,6084
E01009011,448402.625,1293702.155,Birmingham 028B,1779,727.2075195,2.885135174,2.451448917,3421.171383,448402.6263,3967
E01009012,328512.4375,656554.8067,Birmingham 028C,1417,463.3414307,1.998569131,1.561944604,3729.596433,328512.4227,4313
E01009013,351458.125,807229.1815,Birmingham 031D,2022,399.2231445,2.296800375,1.345798969,3729.267471,351458.1353,5753
E01009014,369079.5938,818679.0455,Birmingham 090A,2277,359.5428467,2.218163967,1.212034941,3583.541668,369079.5798,6169
E01009015,350442.375,355514.0851,Birmingham 089G,1771,200.7420044,1.014472365,0.676710248,4020.298848,350442.3624,5054
E01009016,245098.1719,742528.5777,Birmingham 098A,1540,482.1614075,3.029515028,1.625387549,3028.697633,245098.1759,6283
E01009017,205354.25,523140.207,Birmingham 097A,1750,298.9372559,2.547501326,1.007730842,2399.898807,205354.2572,8522
E01009018,336403.1563,708453.0998,Birmingham 090B,1715,413.0921936,2.105964422,1.392552137,4931.254694,336403.1539,5098
E01009019,318961.0313,520577.1563,Birmingham 103A,1686,308.7646179,1.632102728,1.040859342,3276.300853,318961.0266,5286
E01009020,211197.3906,309465.9828,Birmingham 103B,1517,203.9986725,1.465292692,0.687688589,2704.207067,211197.3837,7183
E01009021,243331.1406,636871.6645,Birmingham 103C,1679,379.3160706,2.617304325,1.278691292,2968.873187,243331.145,6900
E01009022,369527.875,928569.2863,Birmingham 098B,1796,517.020752,2.512853146,1.742900014,3737.543176,369527.8603,4860
E01009023,262434.4375,580286.1931,Birmingham 098C,1703,340.7434998,2.211166382,1.148661494,2729.949843,262434.4512,6489
